day,max_temp,prec_cover,cloud_cover,solar_energy,sunset,DST,charge_to
Weekday,14.8,8.33,59.4,8.1,0.7621875,TRUE,98
Saturday,14.9,29.17,59.5,9.3,0.757465278,TRUE,92.6171875
Sunday,15,8.33,30.6,11.1,0.755902778,TRUE,76
Monday,17,8.33,32.6,10.1,0.754363426,TRUE,84.6875
Weekday,15.9,0,6.7,10.5,0.752824074,TRUE,52.2734375
Weekday,13.9,0,64.3,5.4,0.751296296,TRUE,83.3515625
Weekday,13,41.67,81.3,0.9,0.749791667,TRUE,100
Weekday,15,50,78.2,2.3,0.748287037,TRUE,100
Saturday,15.9,0,53.8,6.3,0.746793981,TRUE,73.609375
Sunday,16.1,50,69.1,3.5,0.745324074,TRUE,100
Monday,15.9,25,50,4.6,0.743854167,TRUE,97
Weekday,15.9,0,47.2,6.6,0.742407407,TRUE,75.1875
Weekday,17.9,8.33,57.2,7.3,0.740972222,TRUE,82
Weekday,17,16.67,59.6,2.4,0.739548611,TRUE,100
Weekday,16.9,20.83,59.3,6.3,0.738148148,TRUE,85
Saturday,18.9,29.17,67.5,2.7,0.736759259,TRUE,100
Sunday,15.9,4.17,54.1,3.8,0.693726852,FALSE,100
Monday,15.8,12.5,63.3,4.3,0.692361111,FALSE,100
Weekday,13,29.17,63,4.1,0.691030093,FALSE,100
Weekday,13,20.83,61.5,3.8,0.689710648,FALSE,99
Weekday,12,20.83,89.1,2.9,0.688402778,FALSE,100
Weekday,11.1,0,29.6,8,0.68712963,FALSE,70.6171875
Saturday,12.9,33.33,71.2,1.1,0.685868056,FALSE,100
Sunday,11.9,41.67,75.6,1.3,0.68462963,FALSE,100
Weekday,13.9,37.5,70.2,1.3,0.683402778,FALSE,100
Weekday,14,20.83,60.5,3.5,0.682210648,FALSE,92.1640625
Weekday,12.9,20.83,57.7,4,0.681030093,FALSE,93
Weekday,13.9,0,76.4,2.9,0.679884259,FALSE,100
Weekday,15.9,0,74,3,0.67875,FALSE,100
Saturday,14.9,0,37,3.9,0.677650463,FALSE,100
Sunday,11.9,4.17,77.4,1.8,0.676574074,FALSE,100
Monday,11,8.33,91.5,1.2,0.675520833,FALSE,100
Weekday,11.9,41.67,78.4,1.1,0.674490741,FALSE,100
Weekday,9.9,8.33,85.6,2.7,0.67349537,FALSE,100
Weekday,9,70.83,89.3,0.6,0.672523148,FALSE,100
Weekday,10,0,76.3,2.3,0.671585648,FALSE,100
Saturday,9.9,0,79.6,1.3,0.670671296,FALSE,100
Sunday,9.8,45.83,57.4,2.8,0.669791667,FALSE,100
Monday,7,62.5,72.7,0.6,0.668935185,FALSE,100
Weekday,8.1,33.33,85.6,2.6,0.668113426,FALSE,100
Weekday,10,54.17,54.4,3.2,0.667326389,FALSE,100
Weekday,11,33.33,42.7,1.5,0.666574074,FALSE,100
Weekday,11,0,40.9,4.5,0.665856481,FALSE,100
Saturday,11,29.17,70.8,1.8,0.665162037,FALSE,100
Sunday,11,16.67,64.8,2.1,0.664513889,FALSE,100
Monday,7,8.33,78.6,1.3,0.663900463,FALSE,100
Weekday,5,4.17,98.8,0.6,0.663321759,FALSE,100
Weekday,5.9,8.33,93,1.5,0.662777778,FALSE,100
Weekday,5,4.17,96.9,1.2,0.662268519,FALSE,100
Weekday,6,4.17,87.8,1.9,0.661793981,FALSE,100
Saturday,6,33.33,83.2,1.8,0.661365741,FALSE,100
Sunday,5,57.33,93,1.5,0.660972222,FALSE,100
Monday,6.9,45.83,86.5,1.6,0.660625,FALSE,100
Weekday,5.1,16.67,62.2,2.5,0.6603125,FALSE,100
Weekday,4.1,0,24.8,3,0.660034722,FALSE,100
Weekday,2.1,4.17,43.1,4,0.659814815,FALSE,100
Weekday,3,0,53.8,3.7,0.659618056,FALSE,100
Saturday,2.9,12.5,66.9,3.5,0.659467593,FALSE,100
Sunday,1,0,97.5,0.6,0.659363426,FALSE,100
Monday,0,8.33,94.6,0.8,0.659305556,FALSE,100
